Field,Status,Output
Customer Name,Not found,Not found
Customer P.O. Number,Not found,Not found
Customer Part Number,Not found,Not found
Customer Part Number Revision,Not found,Not found
AEM Part Number,Found,ZAZBE. PFILPLOU FE = hE; — RK73H1JTTD1001F-AEM; RERBANTTOIOIE “AEM; RK73H1JTTD1001F-AEM
AEM Lot Number,Found,Date of Measurement 8-28-25 Test Equipment Cal. ID O38
AEM Date Code,Not found,Not found
AEM Cage Code,Found,1GLF1 QUANTITY SHIPPED: 500 + FAI Report QUALITY ASSURANCE MAYAGER lo- t- a
Customer Quality Clauses,Not found,Not found
FAI Form 3,Found,(2) 10 to. |4a-ag | 133q LAB 020 | De-Reel/Unpacking of
Solderability Test Report,Not found,Not found
DPA,Found,"a Ed %-27-25 Ss {FAI Forms Electrical : 10 qa acl} FAI Form3 | Mechanical a T16 qe agi ' P70156 | Leach Test | (9. [¢-X] “(0 f P70115 Terminal Strengih Z {0 eae 1S 10 . P7041 GA Accepiance Atvegt = TWM Manager/Engineer/ Screening Supervisor to insert ""* wh ere tests are not applicable; (3) components (100%) as00 gs0o |sia-2g] 1240 | 70185 s | 5 |ezres| iad | | CONVERSION PROCESSES Special Instructions by TWM Manager or Engineer: U 90102 Remove Sn (100%) AGoo 2500 / 2-25-25] 1RTo LAB 026 | Sn/Pb Plate (100%) ( 9 ro) 2500 asco ly.zgg.x] !27O 103 | Dry/Bake (100%) @ 2500 2500 | 9-25-96] IRFo LAB 021 | 100% Visual Inspection Q) 2430 [2374 |y-aza¢]} (S08 41 | QA Acceptance 1539 $379, |%20-26 | par @) | Q Yy °"
Visual Inspection Record,Found,(TWM) “CHECK ONE BOX: C Pre-Eval (As-Received) CO Pre-Eval (Post-Conversion) 4B QA1 0 aa2 O Other = |; Process Instruction: P90107
Shipment Quantity,Not found,Not found
Reel Labels,Not found,Not found
Certificate of Conformance,Found,"(ew) This is to certify that the products below were processed per AEM Drawing 387070, Revision B. The products supplied meet all of the requirements of the referenced purchase order, including all purchase order referenced documents. The Sn/Pb converted components meet the following requirements: 1) Minimum Termination Pb content of 5% as measured by EDS and XRF methods. 2) Passed Solderability Test per ANSI/J-STD-002 and MIL-STD-202-208. CUSTOMER: Qual-Pro Corporation CUSTOMER P.O. NO.: 146804 P.O LINE ITEM NO.: 25, 27, & 28 CUSTOMER PART NO.: —112--101--RK73H1JTTD1001F-17"
Route Sheet,Found,NO F70978 REV. A ECN: 2210 08/19 TWM PRE-EVAL / QA1 1 QA2 SAMPLE EVALUATIONS TWM 7: 24g04Sb COMPONENT TYPE: AER ILT AE
Part Number,Found,"16. Part Name: 17. Part Type 18. FAIR Identifier: 19. Does FAIR Contain Documented Nonconformance (s)? Yes O No & 20. FAIR Verified By: Dianne Alday (3) 21.; 2. Part Name: 3. Serial Number: 4. FAI Identifier: Customer PN: Thick Film Resistors - SMD 125 | N/A RK73H1JTTD1001F-AEM mW 1Kohms 1% (Sn/Pb Conversion) TWM 250956 ‘5. Material or Process Name: 6. Specification 7. Code: | 8. Supplier: 9. Customer 10. Certificate of Number: Approval Conformance Verification: number: Thick Film Resistors - SMD | RK73H1JTTD1001F NA LOA Speer NA KOA Speer C of C 425 mW 1Kohms 1% Electronics, Inc. SO#730302501 199Bolivar Drive Bradford, PA 16701 ‘Sn/Pb Conversion 387070 N/A AEM Inc. N/A AEM C. of C. for 6610 Cobra Way ‘Sn/Pb Conversion San Diego, CA TWM 250956, 92121 11. Functional Test Procedure Number: 12. Acceptance report number: LAB 015 Rev. B ESD Control Program ""TWM 250956 P70155 REV. J Solderability Test Procedure TWM 250956 13. Comments: 9102C Revision; Date of Test OG -13- 2H Equipment Cal. |D; teh RK7S HINTTO ‘601 F PEM ot Number: TAM _ 250956 \ = | iN |; HARK TRHISTID; EF 10. “OEM; RK73H1JTTD1001F when P.O, requires. (2) Perform FAI and ona 10 piece sample. OEM; Qyaridy prot ot Number:; Date of Test i ean AC Equipment Cal. ID og 62 / AGEs; RERBANTTOIOIE “AEM Employee Number: __ U4 Leader Length Within Spec | Yes#~ NOD Trailer Length Within Spec | Yesa~ —sNOO Cover Tape is aligned with Embossed Carrier yesa~ Noo No excessive adhesive | Yesa~ NOD No damaged sprocket holes or damaged carrier/cover tape edges | YES a nou Cavity has sufficient clearance | YES @ noo No more than two pockets in succession without components | YES eh noo REEL: No cracks or damage to the sides or hub/drive hole sections | yesO nou COMPONENT REJECT CLASSIFICATION (IF APPLICABLE) ° QUANTITY REJECTED Debris Other (List) Total t . Quantity Inspected Soo , Quantity Accepted Soo Quantity Rejected 7) Quantity Missing g Total 500 DISPOSITION Scrap Rework (1 Use As Is APPROVAL/ — | QA: sy; RK73H1JTTD1001F-AEM OEM MFG. PART NO.: KOA Speer RK73H1JTTD1001F OEM MFG. LOT NO.: KOA Speer 91038674 OEM MFG.; MASTER COPY AG Nore 100% DCR Record : berore thermal Chock included 19 DC; Date of Measurement"
Lot Number,Found,"TWM 25095 AAey Col F- yer); __ TW. 250986 pee) 1061 F pay); FE OEM LOT; 91038674 (3) QA to perform; Ww vt ASO ACG Equipment Cal. ID 062 Bb 20 “c Part Numpe NG; TWM 280 45; Date of Measurement 8-28-25 Test Equipment Cal. ID O38; ca 2S Test Equipment Cai. ID \ang, 0aGh hem eee ae TWM 25098C Specified DCR aqo- 010 QMeximum Measured by i of 3 mm tei | DCR.O va | pcr. © | CBk | per, 2 une [pcr | UaR Der. 9 | Lat | per, a gag 26 | 1000 s}_| 990 76 | 499 | jor | 995 126 | GAC > | aa 27 | FAS | 52 | AAS a7 | Gac | 102 | Aa¢ 327 | 1001 3 | \oo! 28 Q05 53 | GAN 78 gay | 103 | 49¢ 128 | 1000 4 Fac 29 aay 54 | 1000 79 | Gac 104 | 499 129 | 997) 5 gaa, 30 Aas 55_| 1000 so | Gay | ios | AA4 130 | 998 6 | aas 31 gq"" 56 | 994 gs: |looo | 106 | AAG | isi | 1000 7 aac 32 905 | 57 | 1000 82 gas | 107 | 9% 132 | 9dG g__| 1000 33 | 944 58_| 1000 gs | 998 | ios | 407 | 133 | 298 9 QaG 34_ | 901 59 _| 9a ea | Gac | 109 | Aaa | 134 | 996 10 | Aa 35 | AAG 60 | 494 gs | 90 | 110 | AGQ | 135 996 11 | aaa 36 | 9498 61 | GAG se | F41 | ins | 49 | 136 ga 2 | 995 | 37 | gas | 62 | aac | s7‘|loog | 12 | 999 | 137 99.5 3 | aaq | as | gas | 63 | 997 gs | 49% | iss | 997 | ass | 9499 14 | Aac 39 | 999 64 | FA so | 995 | sia | 498 | 139 | 1001 "
Date,Found,"January 2024 9102C; January 2023; of Test OG -13- 2H Equipment Cal. |D sample Size (D pcs. { | ZHE °c Test Duration 5 seconds i Test Temperature Acceptance Criteria 1. There shall be ro mechanicai damage minimum 2. New solder coverage shail o2e9 3 Pinholes, vords porosity ronwetting, or dewetting shal. not concentrate In one are2; of Test a7 12-25 Equipment Cal. 1D o2i4 i ! Sample Size to i | { Acceptance Criteria: | 1. There shall be no rejectable visual defects. \ Becult: — , |; of Test OZ -12-AB Equipment Cal. ID OG23 Sample Size (o flr . Test Temperature 2LD0 °C aod seconds Acceptance Criteria: 1. Leached away area shall not exceed 10%.; of Test —og-12-29 Equipment Cal. ID DABA Sample Size - 1p ftw Load Applied 300 g 2° seconds Test Duration [No (If yes, please describe below) Special Requirement O Yes Acceptance Criteria: 1. There shall be no mechanical damage. 2. Special requirement shall be met |; 8/25/2025 Time: 8:49:21 AM CAL ID#: 0836 99.6 % 99.7% 99.5 % 99.5% 99.5 % 99.4% 98.8 % 99.3% 98.9 % 99.5 % 98.6 % 99.2% 99.3% 99.4% 99.1 % 99.3 % 99.3 % 99.3 % 98.0 % 99.0 % SnPb1 ym 8.183 0.858 10.49 3.53 20 6.90 10.4 10 sec Directory: AEM AS RECEIVED (10 pes.) 0.375 % 0.328 % 0.497 % 0.460 % 0.537 % 0.563 % 1.25 % 0.718 % 1.12% 0.537 % 1.39 % 0.818 % 0.738 % 0.635 % 0,904 % 0.674 % 0.710 % 0.740 % 2.01 % 1.03 % Sn1% 99.20 0.401 0.40 1.68 20 98.0 99.7 Pb1% 0.802 0.401 1.68 20 0.328 2.01; Recept | Reject | EMP. NOTES: NUMBER applicable” ty. NO. Pre-Eval: Pre-Conversion Evaluations (QA1) TAB 026 | Visual Inspection iS ea x | 1° ° WG [Tap 025. | XRF Thx/Pb% 2 10 6-25-27 | lo & |\270 P70185 | SEM/EDS x ""7 P70155_ | Solderability v (0 __\pe-13- 2wi| WD elm 70156 Leach Test a 1 PB-l2-ak 10 Ea (py P70115 Terminal Strength ao 16 |p&~- [2 -2%| 1D | per FAI Forms | Electrical 2B lo giz | 0 ° 339 FAlForm3 | Mechanical Pa 10 gw] © ° 1334 Pre-Eval Post-Conversion Evaluations LAB 026 Visual Inspection LAB 025 XRF Thx/Pb% P70185 SEWEDS ~~ P70155 Solderability P70156 Leach Test P70115 | Terminal Strengih FAI Form3 | Electrical FAI Form3 | Mechanical P70185; EMP. LAB 025 se GO }2-27- | HO NUMBER DESCRIPTION | START | GOOD No EDS (4) 2 P70185 10 | 1D | 6-24-25) 1037 PRE-PRODUCTION; 8/27/2025 Time: 9:46:38 AM CAL ID#: 1104; of Test Test Temperature Aus ‘ °c Test Duration S $- Q-AE Equipment cal. 1D ( RA [ {O d Sample Size DO pes. seconds | Acceptance Criteria: 1. There shall be no mechanical damage 2. New solder coverag ewetting shall not concentrat tting, ord e shall be 95% minimum. ein one area 3. Pinholes, voids, porosity, NONwWE “; of Test k- AT Qe Equipment Cal. ID Sample Size 10. PCS 4 O20 Acceptance Criteria 1. There shall be no rejectable visual defects. T | | est Result: | A accepted C Rejected i Tested by 2 G ) CLERM403 Rev B- ECN 2210 8/19; of Test 4 = Q]- QE sample Size fo PCE. Test Temperature Test Duration Go. seconds Acceptance Criteria: 1. Leached away area shall not exceed 10% R t; of Test i ean AC Equipment Cal. ID og 62 / AGEs Sample Size ND) £C& y Load Applied 290 4 : 20 seconds D Yes aio (If yes, please describe below) Test Duration Special Requirement Acceptance Criteria: 1. There shall beno mechanical damage. 2. Special requirement shall be met. f i; Employee * €.26-25| 1B 1 Parts received tae: Extemal visual _ _ 2 inspection Photo-document samples ve WA 3 Lead / terminal Measure lead / termina! 829-25 los7 composition composition 4; 4-_ 23-Wr6 COMMENTS | Ob03 Gisrve maATuEMG- 102 P90107-1 RevisionA €CN 2210 08/19; CODE: 2535.; of Measurement 8-28-25 Test Equipment Cal. ID O38 Specified DCR 90 - 1010 Q Maximum, Measured by 42 Page 1 of 7 om Pocr.o | om per,a | “2"" | pero wns pCR, pera | “2"" | pcr.a 1 397 26 ase 51 907 76 sag 101 297 126 Yoo 2 29S 27 aaa 52 398 71 toot 102 a9 127 a%e 3 8 28 sag 53 aa 78 tooo | 103 \o20 128 toon 4 2G 29 baited 54 yd 79 oS 104 “Ee 129 Aa 5 ie? 30 499 55 297 80 3197 105 aa8 130 aac 6 97 3] 94 56 AG 81 ass 106 195, 131 ws 7 997 32 also 57 ae 82 Jeo 107 ase 132 tooo 8 aaa | 33 \ooz | 58 a7 33 2a 108 sae | 133 | 999 9 998 34 ma 59 sag 84 798 109 aac | 134 299 10 iia) 35 Pa 60 997 85 A 110 448 135 9G u 397 36 OAs 61 saa 86 aa7 11 id 136 AAT 12 \oo2 37 a7 62 aa 87 ‘con 112 sag 137 oA 13 a8 38 gag 63 sag 88 ms | 113 ear | 138 | ‘0% 14 ieee 39 SAG 64 baa 89 57 114 aS 139 a 15 hed 40 oF 65 mall 90 alah 115 as 140 296 16 997 41 isos) 66 ara 91 sae | 116 a8 141 me 17 ag 42 SAT 67 ans 92 7 117 \oo2 142 FA 18 a9n7 43 {coo 68 FAG 93 PAG 118 a98 143 a4 19 ake 44 207 69 loot 94 a6 119 baal 144 ; of Measurement (6 /nore: foo OCR Record CFIight DC"
Resistance,Found,"* (L:Sw/pb) | | TPL-TP: 2mm pitch punch paper ie 2E | <awinypoaony Tis aleve as ne -| TD: 4mm pitch punch paper indicates W2H ternal suvace materal | TE: 4mm pitch plastic embossed ey W3a | *3 Produc wih gold plated electrodes are | ‘Other non-standard reel sizes available, vee 2H, 3A {too IM) so plesse eaneut wits us |_Contact factory for other options ee maeleltee W3A2 | “4 With type 1F, 1H, W2H, W3A, W3A2 only T is available as the terminal surface material ox hiserlheomatonren cena, ‘Specifications given herein may be changed at any time without prior notice. Please confirm techni KOA Speer Electronics, Inc. + 199 Bolivar Drive * Bradford, PA 16701 + USA + 814-362-5536 + Fe for new designs. *°5 Standard taping specification of 1H is TCM, Previously available""TC(10,000pcs/Reel)""is not recommended specifications before you order and/or use. please refer to Appendix A 1103/23; TEST RECORD (TWM) PROCESS INSTRUCTION: P70156 | CHECK ONE BOX: i i © Pre-Eval (As-Received) O Pre-Eval (Post-Conversion) | | Maal OD aa2 | D Other } l Test Duration; TEST RECORD (TWM) PROCESS INSTRUCTION 70156 CHECK ONE BOX T Pre-Eval (As-Received) J pre-Eval (Post Conversion} CO aal DC Other _ J EDA; Record data pack TM 2GOGSG A RKI3H1T TTO1COF-; Record jncluded in RKTD HII TTD ivote- REM"
Dimension,Found,"s = 0.4 +0.2-0.1mm) (6.30.2) | '(3.140.2) .026#.006 . (2512) (0.6520.15) ordering information RK73H | 2B | 5 os 1D 4003 EF Type size | | Characteristics | |Temination| Packaging peominal | | | Tolerance 4F, 1H Nil:Standard T Sn TX: 4mm width - 1mm pitch plastic embossed 3 significant D: 40.5% 1E, 1d A: Heat shock G:Au™ TBL - TCM: 2mm pitch press paper ** figures + 1 Fi 41% 2A, 2B | |; s Measure against applicable spec (FAI data acceptable) FAL pace a _] Measure against applicable spec and record here: ATTACHE 5 | Electrical : SEE ~ TAN Pree 8-27-25 1374 6 Cross-section 1 Optical inspection [e27-25 | 1344 7 SEM inspection { is 24-28 | 1394 ~ POT eRoc Esser — eeESqgUuULNe OPE PE To ZOD."
